HEADWORD	IPA	SOUND_CLASSES
Hansestadt	h a n z ə ʃ t a t	H V N S V S T V T
Hanswurst	h a n s v ʊ r s t	H V N S W V R S T
Hanswursterei	h a n s v ʊ r s t ə r ai	H V N S W V R S T V R V
hanteln	h a n t ə l n	H V N T V R N
Hantel	h a n t ə l	H V N T V R
hantieren	h a n t i r ə n	H V N T V R V N
Hantierung	h a n t i r ʊ ŋ	H V N T V R V N
hapern	h a p ə r n	H V P V R N
haploid	h a p l o i t	H V P R V V T
Häppchen	h ɛ p x ə n	H V P K V N
Happen	h a p ə n	H V P V N
haprig	h a p r ɪ x	H V P R V K
Harem	h a r ɛ m	H V R V M
Häresie	h ɛ r e z i	H V R V S V
Häretiker	h ɛ r e t i k ə r	H V R V T V K V R
Harfe	h a r f ə	H V R P V
Harfenspiel	h a r f ə n ʃ p i l	H V R P V N S P V R
harken	h a r k ə n	H V R K V N
Harke	h a r k ə	H V R K V
Harlekin	h a r l e k i n	H V R R V K V N
härmen	h ɛ r m ə n	H V R M V N
Harm	h a r m	H V R M
harmlos	h a r m l o s	H V R M R V S
Harmlosigkeit	h a r m l o z ɪ x k ai t	H V R M R V S V K K V T
Harmonie	h a r m o n i	H V R M V N V
harmonieren	h a r m o n i r ə n	H V R M V N V R V N
Harmonika	h a r m o n i k a	H V R M V N V K V
harmonisch	h a r m o n ɪ ʃ	H V R M V N V S
harmonisieren	h a r m o n i z i r ə n	H V R M V N V S V R V N
Harmonisierung	h a r m o n i z i r ʊ ŋ	H V R M V N V S V R V N
Harmonium	h a r m o n i ʊ m	H V R M V N V V M
Harn	h a r n	H V R N
Harnblase	h a r n b l a z ə	H V R N P R V S V
Harnisch	h a r n ɪ ʃ	H V R N V S
Harnleiter	h a r n l ai t ə r	H V R N R V T V R
harntreibend	h a r n t r ai b ə n t	H V R N T R V P V N T
Harpune	h a r p u n ə	H V R P V N V
Harpunenkanone	h a r p u n ə n k a n o n ə	H V R P V N V N K V N V N V
harpunieren	h a r p u n i r ə n	H V R P V N V R V N
Harpunier	h a r p u n i r	H V R P V N V R
Harpyie	h a r p y j ə	H V R P V J V
harren	h a r ə n	H V R V N
harsch	h a r ʃ	H V R S
harschen	h a r ʃ ə n	H V R S V N
Harsch	h a r ʃ	H V R S
hart	h a r t	H V R T
härten	h ɛ r t ə n	H V R T V N
hart	h a r t	H V R T
Härte	h ɛ r t ə	H V R T V
hartgebrannt	h a r t g ə b r a n t	H V R T K V P R V N T
hartgekocht	h a r t g ə k ɔ x t	H V R T K V K V K T
Hartgeld	h a r t g ɛ l t	H V R T K V R T
hartgesotten	h a r t g ə z ɔ t ə n	H V R T K V S V T V N
hartherzig	h a r t h ɛ r ts ɪ x	H V R T H V R K V K
Hartholz	h a r t h ɔ l ts	H V R T H V R K
harthörig	h a r t h ɶː r ɪ x	H V R T H V R V K
hartköpfig	h a r t k œ + ɪ x	H V R T K V + V K
hartleibig	h a r t l ai b ɪ x	H V R T R V P V K
hartmäulig	h a r t m χ l ɪ x	H V R T M K R V K
hartnäckig	h a r t n ɛ k ɪ x	H V R T N V K V K
Hartnäckigkeit	h a r t n ɛ k ɪ x k ai t	H V R T N V K V K K V T
Härtung	h ɛ r t ʊ ŋ	H V R T V N
harzen	h a r ts ə n	H V R K V N
Harz	h a r ts	H V R K
harzig	h a r ts ɪ x	H V R K V K
Hasard	h a z a r t	H V S V R T
hasardieren	h a z a r d i r ə n	H V S V R T V R V N
Hasardspiel	h a z a r t ʃ p i l	H V S V R T S P V R
haschen	h a ʃ ə n	H V S V N
Haschen	h a ʃ ə n	H V S V N
haschieren	h a ʃ i r ə n	H V S V R V N
Haschisch	h a ʃ ɪ ʃ	H V S V S
Hase	h a z ə	H V S V
Hasel	h a z ə l	H V S V R
Haselbusch	h a z ə l b ʊ ʃ	H V S V R P V S
Haselnuss	h a z ə l n ʊ s	H V S V R N V S
Haselstrauch	h a z ə l s t r au x	H V S V R S T R V K
Hasenfuss	h a z ə n f u s	H V S V N P V S
Häslein	h æ s l ai n	H V S R V N
Haspe	h a s p ə	H V S P V
haspeln	h a s p ə l n	H V S P V R N
Haspel	h a s p ə l	H V S P V R
Haspen	h a s p ə n	H V S P V N
hassen	h a s ə n	H V S V N
Hass	h a s	H V S
hassenswert	h a s ə n s v e r t	H V S V N S W V R T
Hasser	h a s ə r	H V S V R
hasserfüllt	h a s ɛ r f ʏ l t	H V S V R P V R T
hässlich	h ɛ s l ɪ x	H V S R V K
Hässlichkeit	h ɛ s l ɪ x k ai t	H V S R V K K V T
hasten	h a s t ə n	H V S T V N
Hast	h a s t	H V S T
hastig	h a s t ɪ x	H V S T V K
hätscheln	h æ t ʃ ə l n	H V T S V R N
haün	h au ə n	H V V N
Hau	h au	H V
Häubchen	h χ p x ə n	H K P K V N
Haube	h au b ə	H V P V
Haubitze	h au b ɪ ts ə	H V P V K V
hauchen	h au x ə n	H V K V N
Hauch	h au x	H V K
hauchdünn	h au x d ʏ n	H V K T V N
Haudegen	h au d e g ə n	H V T V K V N
Haü	h au ə	H V V
häufen	h χ f ə n	H K P V N
Häufchen	h χ f x ə n	H K P K V N
häufeln	h χ f ə l n	H K P V R N
Haufen	h au f ə n	H V P V N
haufenweise	h au f ə n v ai z ə	H V P V N W V S V
häufig	h χ f ɪ x	H K P V K
Häufigkeit	h χ f ɪ x k ai t	H K P V K K V T
Häuflein	h χ f l ai n	H K P R V N
Häufung	h χ f ʊ ŋ	H K P V N
Haupt	h au p t	H V P T
hauptamtlich	h au p t a m t l ɪ x	H V P T V M T R V K
Hauptbahnhof	h au p t b a n h o f	H V P T P V N H V P
Hauptberuf	h au p t b ə r u f	H V P T P V R V P
hauptberuflich	h au p t b ə r u f l ɪ x	H V P T P V R V P R V K
Hauptdarsteller	h au p t d a r ʃ t ɛ l ə r	H V P T T V R S T V R V R
Hauptfigur	h au p t f i g u r	H V P T P V K V R
Hauptgebäude	h au p t g ə b χ d ə	H V P T K V P K T V
Hauptgewinn	h au p t g ə v ɪ n	H V P T K V W V N
Häuptling	h χ p t l ɪ ŋ	H K P T R V N
häuptlings	h χ p t l ɪ ŋ s	H K P T R V N S
Hauptmann	h au p t m a n	H V P T M V N
Hauptperson	h au p t p ɛ r z o n	H V P T P V R S V N
Hauptquartier	h au p t k v a r t i r	H V P T K W V R T V R
Hauptrolle	h au p t r ɔ l ə	H V P T R V R V
Hauptsache	h au p t z a x ə	H V P T S V K V
hauptsächlich	h au p t z ɛ x l ɪ x	H V P T S V K R V K
Hauptsatz	h au p t z a ts	H V P T S V K
Hauptschlagader	h au p t ʃ l a k a d ə r	H V P T S R V K V T V R
Hauptschuld	h au p t ʃ ʊ l t	H V P T S V R T
Hauptschule	h au p t ʃ u l ə	H V P T S V R V
Hauptstadt	h au p t ʃ t a t	H V P T S T V T
Hauptstrasse	h au p t ʃ t r a s ə	H V P T S T R V S V
Hauptteil	h au p t t ai l	H V P T T V R
Hauptverhandlung	h au p t f ɛ r h a n d l ʊ ŋ	H V P T P V R H V N T R V N
Hauptverkehrsstrasse	h au p t f ɛ r k e r s ʃ t r a s ə	H V P T P V R K V R S S T R V S V
Hauptversammlung	h au p t f ɛ r z a m l ʊ ŋ	H V P T P V R S V M R V N
Hauptwort	h au p t v ɔ r t	H V P T W V R T
hauptwörtlich	h au p t v œ r t l ɪ x	H V P T W V R T R V K
Hauptzeuge	h au p t ts χ g ə	H V P T K K K V
Hauptziel	h au p t ts i l	H V P T K V R
hausen	h au z ə n	H V S V N
Haus	h au s	H V S
Hausangestellte	h au s a n g ə ʃ t ɛ l t ə	H V S V N K V S T V R T V
Hausarzt	h au s a r ts t	H V S V R K T
Hausbau	h au s b au	H V S P V
Hausbesitzer	h au s b ə z ɪ ts ə r	H V S P V S V K V R
Hausbesorger	h au s b ə z ɔ r g ə r	H V S P V S V R K V R
Häuschen	h χ s x ə n	H K S K V N
Häuserblock	h χ z ə r b l ɔ k	H K S V R P R V K
Hausflur	h au s f l u r	H V S P R V R
Hausfrau	h au s f r au	H V S P R V
hausfraulich	h au s f r au l ɪ x	H V S P R V R V K
Hausfreund	h au s f r χ n t	H V S P R K N T
Hausfriedensbruch	h au s f r i d ə n s b r ʊ x	H V S P R V T V N S P R V K
Hausgemeinschaft	h au s g ə m ai n ʃ a f t	H V S K V M V N S V P T
haushalten	h au s h a l t ə n	H V S H V R T V N
Haushalt	h au s h a l t	H V S H V R T
Haushalter	h au s h a l t ə r	H V S H V R T V R
Haushälter	h au s h ɛ l t ə r	H V S H V R T V R
Haushälterin	h au s h ɛ l t ə r ɪ n	H V S H V R T V R V N
haushälterisch	h au s h ɛ l t ə r ɪ ʃ	H V S H V R T V R V S
Haushaltsführung	h au s h a l ts f y r ʊ ŋ	H V S H V R K P V R V N
Haushaltsjahr	h au s h a l ts j a r	H V S H V R K J V R
Haushaltskasse	h au s h a l ts k a s ə	H V S H V R K K V S V
Haushaltsplan	h au s h a l ts p l a n	H V S H V R K P R V N
Haushaltung	h au s h a l t ʊ ŋ	H V S H V R T V N
Haushaltungsschule	h au s h a l t ʊ ŋ s ʃ u l ə	H V S H V R T V N S S V R V
Hausherr	h au s h ɛ r	H V S H V R
haushoch	h au s h o x	H V S H V K
hausieren	h au z i r ə n	H V S V R V N
Hausierer	h au z i r ə r	H V S V R V R
hausintern	h au s ɪ n t ɛ r n	H V S V N T V R N
häuslich	h χ s l ɪ x	H K S R V K
Häuslichkeit	h χ s l ɪ x k ai t	H K S R V K K V T
Hausmann	h au s m a n	H V S M V N
Hausmannskost	h au s m a n s k ɔ s t	H V S M V N S K V S T
Hausmeier	h au s m ai ə r	H V S M V V R
Hausmeister	h au s m ai s t ə r	H V S M V S T V R
Hausmittel	h au s m ɪ t ə l	H V S M V T V R
Hausnummer	h au s n ʊ m ə r	H V S N V M V R
Hausordnung	h au s ɔ r d n ʊ ŋ	H V S V R T N V N
Hausputz	h au s p ʊ ts	H V S P V K
Hausrat	h au s r a t	H V S R V T
Hausratversicherung	h au s r a t f ɛ r z ɪ x ə r ʊ ŋ	H V S R V T P V R S V K V R V N
Hausschlachtung	h au s ʃ l a x t ʊ ŋ	H V S S R V K T V N
Haussuchung	h au s z u x ʊ ŋ	H V S S V K V N
Haustier	h au s t i r	H V S T V R
Haustür	h au s t y r	H V S T V R
Hausverwalter	h au s f ɛ r v a l t ə r	H V S P V R W V R T V R
Hauswart	h au s v a r t	H V S W V R T
Hauswirt	h au s v ɪ r t	H V S W V R T
Hauswirtschaft	h au s v ɪ r t ʃ a f t	H V S W V R T S V P T
häuten	h χ t ə n	H K T V N
Haut	h au t	H V T
Hautarzt	h au t a r ts t	H V T V R K T
Häutchen	h χ t x ə n	H K T K V N
hauteng	h au t ɛ ŋ	H V T V N
Hautfarbe	h au t f a r b ə	H V T P V R P V
häutig	h χ t ɪ x	H K T V K
Hautjucken	h au t j ʊ k ə n	H V T J V K V N
Hautkrankheit	h au t k r a ŋ k h ai t	H V T K R V N K H V T
Hautkrebs	h au t k r e p s	H V T K R V P S
hautnah	h au t n a	H V T N V
Hautpflege	h au t pf l e g ə	H V T P R V K V
hautschonend	h au t ʃ o n ə n t	H V T S V N V N T
Hauttransplantation	h au t t r a n s p l a n t a ts i o n	H V T T R V N S P R V N T V K V V N
Häutung	h χ t ʊ ŋ	H K T V N
Havarie	h a v a r i	H V W V R V
havarieren	h a v a r i r ə n	H V W V R V R V N
Havarist	h a v a r ɪ s t	H V W V R V S T
Haxe	h a k s ə	H V K S V
heben	h e b ə n	H V P V N
Hebamme	h e p a m ə	H V P V M V
Hebebühne	h e b ə b y n ə	H V P V P V N V
Hebel	h e b ə l	H V P V R
Hebelarm	h e b ə l a r m	H V P V R V R M
Heber	h e b ə r	H V P V R
Hebräer	h e b r æ ə r	H V P R V V R
hebräisch	h e b r æ ɪ ʃ	H V P R V V S
Hebung	h e b ʊ ŋ	H V P V N
hecheln	h ɛ x ə l n	H V K V R N
Hecht	h ɛ x t	H V K T
hecken	h ɛ k ə n	H V K V N
Heck	h ɛ k	H V K
Hecke	h ɛ k ə	H V K V
Heckenschere	h ɛ k ə n ʃ e r ə	H V K V N S V R V
Heckmotor	h ɛ k m o t ɔ r	H V K M V T V R
Hedonismus	h e d o n ɪ s m ʊ s	H V T V N V S M V S
Heer	h e r	H V R
Heeresbericht	h e r ə s b ə r ɪ x t	H V R V S P V R V K T
Heeresgruppe	h e r ə s g r ʊ p ə	H V R V S K R V P V
Heeresleitung	h e r ə s l ai t ʊ ŋ	H V R V S R V T V N
Heereszug	h e r ə s ts u k	H V R V S K V K
Heerführer	h e r f y r ə r	H V R P V R V R
Heerlager	h e r l a g ə r	H V R R V K V R
Hefe	h e f ə	H V P V
Hefekuchen	h e f ə k u x ə n	H V P V K V K V N
hefig	h e f ɪ x	H V P V K
heften	h ɛ f t ə n	H V P T V N
Heft	h ɛ f t	H V P T
Heftchen	h ɛ f t x ə n	H V P T K V N
hefteln	h ɛ f t ə l n	H V P T V R N
Heftel	h ɛ f t ə l	H V P T V R
Hefter	h ɛ f t ə r	H V P T V R
Heftfaden	h ɛ f t f a d ə n	H V P T P V T V N
heftig	h ɛ f t ɪ x	H V P T V K
Heftigkeit	h ɛ f t ɪ x k ai t	H V P T V K K V T
Heftklammer	h ɛ f t k l a m ə r	H V P T K R V M V R
Heftpflaster	h ɛ f t pf l a s t ə r	H V P T P R V S T V R
Heftzwecke	h ɛ f t ts v ɛ k ə	H V P T K W V K V
hegen	h e g ə n	H V K V N
Hege	h e g ə	H V K V
Hegelianer	h e g ə l i a n ə r	H V K V R V V N V R
hegelianisch	h e g ə l i a n ɪ ʃ	H V K V R V V N V S
Hegemeister	h e g ə m ai s t ə r	H V K V M V S T V R
hegemonial	h e g e m o n i a l	H V K V M V N V V R
Hegemonie	h e g e m o n i	H V K V M V N V
hegemonisch	h e g e m o n ɪ ʃ	H V K V M V N V S
Heger	h e g ə r	H V K V R
Hegezeit	h e g ə ts ai t	H V K V K V T
hehlen	h e l ə n	H V R V N
Hehl	h e l	H V R
Hehler	h e l ə r	H V R V R
Hehlerei	h e l ə r ai	H V R V R V
Heide	h ai d ə	H V T V
Heide	h ai d ə	H V T V
Heidekraut	h ai d ə k r au t	H V T V K R V T
Heidelbeere	h ai d ə l b e r ə	H V T V R P V R V
Heidelerche	h ai d ə l ɛ r x ə	H V T V R V R K V
Heidentum	h ai d ə n t u m	H V T V N T V M
Heidin	h ai d ɪ n	H V T V N
heidnisch	h ai t n ɪ ʃ	H V T N V S
heikel	h ai k ə l	H V K V R
heilen	h ai l ə n	H V R V N
heil	h ai l	H V R
Heil	h ai l	H V R
Heiland	h ai l a n t	H V R V N T
Heilanstalt	h ai l a n ʃ t a l t	H V R V N S T V R T
Heilanzeige	h ai l a n ts ai g ə	H V R V N K V K V
heilbar	h ai l b a r	H V R P V R
Heilbarkeit	h ai l b a r k ai t	H V R P V R K V T
heilbringend	h ai l b r ɪ ŋ ə n t	H V R P R V N V N T
heilfroh	h ai l f r o	H V R P R V
Heilgehilfe	h ai l g ə h ɪ l f ə	H V R K V H V R P V
Heilgymnastik	h ai l g ʏ m n a s t ɪ k	H V R K V M N V S T V K
heilig	h ai l ɪ x	H V R V K
Heiligabend	h ai l ɪ x a b ə n t	H V R V K V P V N T
Heilige	h ai l ɪ g ə	H V R V K V
Heiligedreikönigstag	h ai l i g ə d r ai k ɶː n ɪ x s t a k	H V R V K V T R V K V N V K S T V K
Heiligenbild	h ai l ɪ g ə n b ɪ l t	H V R V K V N P V R T
Heiligenfigur	h ai l ɪ g ə n f i g u r	H V R V K V N P V K V R
Heiligenschein	h ai l ɪ g ə n ʃ ai n	H V R V K V N S V N
heilighalten	h ai l ɪ x h a l t ə n	H V R V K H V R T V N
Heiligkeit	h ai l ɪ x k ai t	H V R V K K V T
heiligsprechen	h ai l ɪ x ʃ p r ɛ x ə n	H V R V K S P R V K V N
Heiligtum	h ai l ɪ x t u m	H V R V K T V M
Heiligung	h ai l ɪ g ʊ ŋ	H V R V K V N
Heilkunde	h ai l k ʊ n d ə	H V R K V N T V
heillos	h ai l l o s	H V R R V S
Heilmittel	h ai l m ɪ t ə l	H V R M V T V R
Heilpflanze	h ai l pf l a n ts ə	H V R P R V N K V
Heilpraktiker	h ai l p r a k t i k ə r	H V R P R V K T V K V R
Heilqülle	h ai l k v ɛ l ə	H V R K W V R V
Heilruf	h ai l r u f	H V R R V P
heilsam	h ai l z a m	H V R S V M
Heilslehre	h ai l s l e r ə	H V R S R V R V
Heilstätte	h ai l ʃ t ɛ t ə	H V R S T V T V
Heilung	h ai l ʊ ŋ	H V R V N
Heilungsprozess	h ai l ʊ ŋ s p r o ts ɛ s	H V R V N S P R V K V S
Heilverfahren	h ai l f ɛ r f a r ə n	H V R P V R P V R V N
heim	h ai m	H V M
Heim	h ai m	H V M
Heimarbeit	h ai m a r b ai t	H V M V R P V T
Heimat	h ai m a t	H V M V T
Heimaterde	h ai m a t e r d ə	H V M V T V R T V
Heimatfest	h ai m a t f ɛ s t	H V M V T P V S T
Heimatfilm	h ai m a t f ɪ l m	H V M V T P V R M
Heimatforscher	h ai m a t f ɔ r ʃ ə r	H V M V T P V R S V R
heimatgenössig	h ai m a t g ə n œ s ɪ x	H V M V T K V N V S V K
Heimatkunde	h ai m a t k ʊ n d ə	H V M V T K V N T V
Heimatkunst	h ai m a t k ʊ n s t	H V M V T K V N S T
Heimatland	h ai m a t l a n t	H V M V T R V N T
heimatlich	h ai m a t l ɪ x	H V M V T R V K
heimatlos	h ai m a t l o s	H V M V T R V S
Heimatlose	h ai m a t l o z ə	H V M V T R V S V
Heimatlosigkeit	h ai m a t l o z ɪ x k ai t	H V M V T R V S V K K V T
Heimatmuseum	h ai m a t m u z e ʊ m	H V M V T M V S V V M
Heimatrecht	h ai m a t r ɛ x t	H V M V T R V K T
Heimatstaat	h ai m a t ʃ t a t	H V M V T S T V T
heimbegeben	h ai m b ə g e b ə n	H V M P V K V P V N
heimbegleiten	h ai m b ə g l ai t ə n	H V M P V K R V T V N
heimbringen	h ai m b r ɪ ŋ ə n	H V M P R V N V N
Heimchen	h ai m x ə n	H V M K V N
heimeln	h ai m ə l n	H V M V R N
heimelig	h ai m ə l ɪ x	H V M V R V K
heimfahren	h ai m f a r ə n	H V M P V R V N
Heimfahrt	h ai m f a r t	H V M P V R T
Heimfall	h ai m f a l	H V M P V R
heimführen	h ai m f y r ə n	H V M P V R V N
Heimgang	h ai m g a ŋ	H V M K V N
heimgegangen	h ai m g ə g a ŋ ə n	H V M K V K V N V N
heimgehen	h ai m g e ə n	H V M K V V N
heimholen	h ai m h o l ə n	H V M H V R V N
heimisch	h ai m ɪ ʃ	H V M V S
heimkehren	h ai m k e r ə n	H V M K V R V N
Heimkehr	h ai m k e r	H V M K V R
Heimkehrer	h ai m k e r ə r	H V M K V R V R
Heimkino	h ai m k i n o	H V M K V N V
Heimkunft	h ai m k ʊ n f t	H V M K V N P T
Heimleiter	h ai m l ai t ə r	H V M R V T V R
heimleuchten	h ai m l χ x t ə n	H V M R K K T V N
heimlich	h ai m l ɪ x	H V M R V K
Heimlichkeit	h ai m l ɪ x k ai t	H V M R V K K V T
heimlichtun	h ai m l ɪ x t u n	H V M R V K T V N
Heimlichtür	h ai m l ɪ x t u ə r	H V M R V K T V V R
Heimlichtürei	h ai m l ɪ x t u ə r ai	H V M R V K T V V R V
heimreisen	h ai m r ai z ə n	H V M R V S V N
Heimreise	h ai m r ai z ə	H V M R V S V
Heimstätte	h ai m ʃ t ɛ t ə	H V M S T V T V
heimsuchen	h ai m z u x ə n	H V M S V K V N
Heimsuchung	h ai m z u x ʊ ŋ	H V M S V K V N
Heimtücke	h ai m t ʏ k ə	H V M T V K V
heimtückisch	h ai m t ʏ k ɪ ʃ	H V M T V K V S
heimwärts	h ai m v ɛ r ts	H V M W V R K
Heimweg	h ai m v e k	H V M W V K
Heimweh	h ai m v e	H V M W V
heimzahlen	h ai m ts a l ə n	H V M K V R V N
Heinrich	h ai n r ɪ x	H V N R V K
Heinzelmännchen	h ai n ts ə l m ɛ n x ə n	H V N K V R M V N K V N
heiraten	h ai r a t ə n	H V R V T V N
Heirat	h ai r a t	H V R V T
Heiratsantrag	h ai r a ts a n t r a k	H V R V K V N T R V K
Heiratsanzeige	h ai r a ts a n ts ai g ə	H V R V K V N K V K V
Heiratserlaubnis	h ai r a ts ɛ r l au p n ɪ s	H V R V K V R R V P N V S
heiratsfähig	h ai r a ts f æ ɪ x	H V R V K P V V K
heiratslustig	h ai r a ts l ʊ s t ɪ x	H V R V K R V S T V K
Heiratsmarkt	h ai r a ts m a r k t	H V R V K M V R K T
Heiratsschwindler	h ai r a ts ʃ v ɪ n d l ə r	H V R V K S W V N T R V R
heischen	h ai ʃ ə n	H V S V N
heiser	h ai z ə r	H V S V R
Heiserkeit	h ai z ə r k ai t	H V S V R K V T
heiss	h ai s	H V S
heissen	h ai s ə n	H V S V N
heissen	h ai s ə n	H V S V N
heissersehnt	h ai s ɛ r z e n t	H V S V R S V N T
heissgeliebt	h ai s g ə l i p t	H V S K V R V P T
Heisshunger	h ai s h ʊ ŋ ə r	H V S H V N V R
heisslaufen	h ai s l au f ə n	H V S R V P V N
Heissmangel	h ai s m a ŋ ə l	H V S M V N V R
Heisssporn	h ai s ʃ p ɔ r n	H V S S P V R N
heissumkämpft	h ai s ʊ m k ɛ m pf t	H V S V M K V M P T
heissumstritten	h ai s ʊ m ʃ t r ɪ t ə n	H V S V M S T R V T V N
heiter	h ai t ə r	H V T V R
Heiterkeit	h ai t ə r k ai t	H V T V R K V T
heizen	h ai ts ə n	H V K V N
Heizanlage	h ai ts a n l a g ə	H V K V N R V K V
heizbar	h ai ts b a r	H V K P V R
Heizer	h ai ts ə r	H V K V R
Heizkissen	h ai ts k ɪ s ə n	H V K K V S V N
Heizkörper	h ai ts k œ r p ə r	H V K K V R P V R
Heizöl	h ai ts ɶː l	H V K V R
Heizung	h ai ts ʊ ŋ	H V K V N
Heizungsanlage	h ai ts ʊ ŋ s a n l a g ə	H V K V N S V N R V K V
Heizungsmonteur	h ai ts ʊ ŋ s m ɔ n t ɶː r	H V K V N S M V N T V R
Hektar	h ɛ k t a r	H V K T V R
Hektik	h ɛ k t ɪ k	H V K T V K
hektisch	h ɛ k t ɪ ʃ	H V K T V S
Hektogramm	h ɛ k t o g r a m	H V K T V K R V M
Hektoliter	h ɛ k t o l i t ə r	H V K T V R V T V R
Held	h ɛ l t	H V R T
Heldenepos	h ɛ l d ə n e p ɔ s	H V R T V N V P V S
heldenhaft	h ɛ l d ə n h a f t	H V R T V N H V P T
Heldenmut	h ɛ l d ə n m u t	H V R T V N M V T
heldenmütig	h ɛ l d ə n m y t ɪ x	H V R T V N M V T V K
Heldentat	h ɛ l d ə n t a t	H V R T V N T V T
Heldentod	h ɛ l d ə n t o t	H V R T V N T V T
Heldentum	h ɛ l d ə n t u m	H V R T V N T V M
helfen	h ɛ l f ə n	H V R P V N
Helfer	h ɛ l f ə r	H V R P V R
Helferin	h ɛ l f ə r ɪ n	H V R P V R V N
Helfershelfer	h ɛ l f ə r s h ɛ l f ə r	H V R P V R S H V R P V R
heliozentrisch	h e l i o ts ɛ n t r ɪ ʃ	H V R V V K V N T R V S
Helium	h e l i ʊ m	H V R V V M
hell	h ɛ l	H V R
helläugig	h ɛ l χ g ɪ x	H V R K K V K
hellblau	h ɛ l b l au	H V R P R V
Helldunkel	h ɛ l d ʊ ŋ k ə l	H V R T V N K V R
Helle	h ɛ l ə	H V R V
Helle	h ɛ l ə	H V R V
Hellebarde	h ɛ l ə b a r d ə	H V R V P V R T V
Hellene	h ɛ l e n ə	H V R V N V
Hellenentum	h ɛ l e n ə n t u m	H V R V N V N T V M
hellenisch	h ɛ l e n ɪ ʃ	H V R V N V S
Heller	h ɛ l ə r	H V R V R
helleuchtend	h ɛ l l χ x t ə n t	H V R R K K T V N T
hellhaarig	h ɛ l h a r ɪ x	H V R H V R V K
hellhörig	h ɛ l h ɶː r ɪ x	H V R H V R V K
hellsehen	h ɛ l z e ə n	H V R S V V N
Hellsehen	h ɛ l z e ə n	H V R S V V N
Hellseher	h ɛ l z e ə r	H V R S V V R
hellseherisch	h ɛ l z e ə r ɪ ʃ	H V R S V V R V S
hellwach	h ɛ l v a x	H V R W V K
Helm	h ɛ l m	H V R M
helvetisch	h ɛ l v e t ɪ ʃ	H V R W V T V S
Hemd	h ɛ m t	H V M T
Hemdchen	h ɛ m t x ə n	H V M T K V N
Hemdsärmel	h ɛ m ts ɛ r m ə l	H V M K V R M V R
hemdsärmelig	h ɛ m ts ɛ r m ə l ɪ x	H V M K V R M V R V K
Hemisphäre	h e m ɪ s f æ r ə	H V M V S P V R V
hemisphärisch	h e m ɪ s f æ r ɪ ʃ	H V M V S P V R V S
hemmen	h ɛ m ə n	H V M V N
Hemmnis	h ɛ m n ɪ s	H V M N V S
Hemmschuh	h ɛ m ʃ u	H V M S V
Hemmung	h ɛ m ʊ ŋ	H V M V N
hemmungslos	h ɛ m ʊ ŋ s l o s	H V M V N S R V S
Hemmungslosigkeit	h ɛ m ʊ ŋ s l o z ɪ x k ai t	H V M V N S R V S V K K V T
Hengst	h ɛ ŋ s t	H V N S T
henken	h ɛ ŋ k ə n	H V N K V N
Henkel	h ɛ ŋ k ə l	H V N K V R
Henker	h ɛ ŋ k ə r	H V N K V R
Henkersknecht	h ɛ ŋ k ə r s k n ɛ x t	H V N K V R S K N V K T
Henkersmahlzeit	h ɛ ŋ k ə r s m a l ts ai t	H V N K V R S M V R K V T
Henne	h ɛ n ə	H V N V
Hepatitis	h e p a t i t ɪ s	H V P V T V T V S
her	h e r	H V R
herab	h ɛ r a p	H V R V P
herablassen	h ɛ r a p l a s ə n	H V R V P R V S V N
Herablassung	h ɛ r a p l a s ʊ ŋ	H V R V P R V S V N
herabsehen	h ɛ r a p z e ə n	H V R V P S V V N
herabsetzen	h ɛ r a p z ɛ ts ə n	H V R V P S V K V N
Herabsetzung	h ɛ r a p z ɛ ts ʊ ŋ	H V R V P S V K V N
herabwürdigen	h ɛ r a p v ʏ r d ɪ g ə n	H V R V P W V R T V K V N
Herabwürdigung	h ɛ r a p v ʏ r d ɪ g ʊ ŋ	H V R V P W V R T V K V N
heran	h ɛ r a n	H V R V N
heranarbeiten	h ɛ r a n a r b ai t ə n	H V R V N V R P V T V N
heranbilden	h ɛ r a n b ɪ l d ə n	H V R V N P V R T V N
heranbringen	h ɛ r a n b r ɪ ŋ ə n	H V R V N P R V N V N
heranfahren	h ɛ r a n f a r ə n	H V R V N P V R V N
herankommen	h ɛ r a n k ɔ m ə n	H V R V N K V M V N
heranreifen	h ɛ r a n r ai f ə n	H V R V N R V P V N
heranrücken	h ɛ r a n r ʏ k ə n	H V R V N R V K V N
heranschaffen	h ɛ r a n ʃ a f ə n	H V R V N S V P V N
herantasten	h ɛ r a n t a s t ə n	H V R V N T V S T V N
herantreten	h ɛ r a n t r e t ə n	H V R V N T R V T V N
heranwachsen	h ɛ r a n v a k s ə n	H V R V N W V K S V N
heranwagen	h ɛ r a n v a g ə n	H V R V N W V K V N
heranziehen	h ɛ r a n ts i ə n	H V R V N K V V N
herauf	h ɛ r au f	H V R V P
heraufbeschwören	h ɛ r au f b ə ʃ v ɶː r ə n	H V R V P P V S W V R V N
heraufbringen	h ɛ r au f b r ɪ ŋ ə n	H V R V P P R V N V N
heraufziehen	h ɛ r au f ts i ə n	H V R V P K V V N
heraus	h ɛ r au s	H V R V S
herausarbeiten	h ɛ r au s a r b ai t ə n	H V R V S V R P V T V N
Herausarbeitung	h ɛ r au s a r b ai t ʊ ŋ	H V R V S V R P V T V N
herausbekommen	h ɛ r au s b ə k ɔ m ə n	H V R V S P V K V M V N
