HEADWORD	IPA	SOUND_CLASSES
abmustern	a p m ʊ s t ə r n	V P M V S T V R N
Abmusterung	a p m ʊ s t ə r ʊ ŋ	V P M V S T V R V N
abnabeln	a p n a b ə l n	V P N V P V R N
abnagen	a p n a g ə n	V P N V K V N
abnähen	a p n æ ə n	V P N V V N
Abnäher	a p n æ ə r	V P N V V R
Abnahme	a p n a m ə	V P N V M V
abnehmen	a p n e m ə n	V P N V M V N
Abnehmer	a p n e m ə r	V P N V M V R
Abnehmerland	a p n e m ə r l a n t	V P N V M V R R V N T
abneigen	a p n ai g ə n	V P N V K V N
Abneigung	a p n ai g ʊ ŋ	V P N V K V N
abnibbeln	a p n ɪ b ə l n	V P N V P V R N
abnorm	a p n ɔ r m	V P N V R M
abnormal	a p n ɔ r m a l	V P N V R M V R
Abnormität	a p n ɔ r m i t æ t	V P N V R M V T V T
abnötigen	a p n ɶː t ɪ g ə n	V P N V T V K V N
abnutzen	a p n ʊ ts ə n	V P N V K V N
abnützen	a p n ʏ ts ə n	V P N V K V N
Abnutzung	a p n ʊ ts ʊ ŋ	V P N V K V N
Abnützung	a p n ʏ ts ʊ ŋ	V P N V K V N
Abonnement	a b ɔ n ə m ã	V P V N V M V
Abonnementskarte	a b ɔ n ə m ã s k a r t ə	V P V N V M V S K V R T V
Abonnent	a b ɔ n ɛ n t	V P V N V N T
abonnieren	a b ɔ n i r ə n	V P V N V R V N
abordnen	a p ɔ r d n ə n	V P V R T N V N
Abordnung	a p ɔ r d n ʊ ŋ	V P V R T N V N
Abort	a b ɔ r t	V P V R T
abortieren	a b ɔ r t i r ə n	V P V R T V R V N
abortiv	a b ɔ r t i f	V P V R T V P
abpacken	a p p a k ə n	V P P V K V N
abparken	a p p a r k ə n	V P P V R K V N
abpassen	a p p a s ə n	V P P V S V N
abpausen	a p p au z ə n	V P P V S V N
abperlen	a p p ɛ r l ə n	V P P V R R V N
abpfeifen	a p pf ai f ə n	V P P V P V N
abpflücken	a p pf l ʏ k ə n	V P P R V K V N
abphotographieren	a p f o t o g r a f i r ə n	V P P V T V K R V P V R V N
abpinnen	a p p ɪ n ə n	V P P V N V N
